source	target
ADAR	HMGA1
ADNP	ARID2
ADNP	JUND
ADNP	NFIA
ADNP2	AHCTF1
ADNP2	ARID2
AEBP1	GLIS2
AEBP2	ARID2
AEBP2	EEA1
AFF1	AHCTF1
AFF4	AHCTF1
AHCTF1	ARID2
AHDC1	NFIX
AHDC1	PRR12
AHR	KLF6
AHR	KLF9
AHR	NFE2L2
AHRR	ARNT
AIRE	FOS
AKAP8	MYC
AKAP8L	MXD4
AKNA	FLI1
AKR1B1	AKNA
ALX1	EMX2
ALX1	FOXC1
ALX3	ALX4
ALX3	EMX2
ALX3	INSM1
ALX4	LMX1B
ALX4	PRRX1
ANHX	DMRT1
ANKZF1	ZNF692
AR	EHF
AR	KLF6
AR	ETS1
AR	FOXA1
AR	GRHL2
AR	JUN
AR	KLF9
AR	NCOA3
ARGFX	DUXA
ARGFX	SNAI1
ARHGAP35	ATMIN
ARID2	BAZ2A
ARID2	DOT1L
ARID2	EGR1
ARID3A	JUN
ARID3A	FOS
ARID3A	JUND
ARID3A	ARID3B
ARID3A	HMGA2
ARID3A	JUNB
ARID3B	ARID3A
ARID3B	AR
ARID3C	NR1I2
ARID5A	RARA
ARID5B	EEA1
ARID5B	FOXN3
ARNT	ESR1
ARNT	BCL6
ARNT	EPAS1
ARNT	FOS
ARNT2	EPAS1
ARNTL	BCL6
ARNTL	BHLHE40
ARNTL2	AHR
ARX	BCL11A
ARX	BCL11B
ASCL1	JUN
ASCL1	SOX4
ASCL1	FOS
ASCL2	BCL11B
ASCL3	ELF3
ASCL4	CASZ1
ASCL4	DLX2
ASCL5	ALX3
ASH1L	BPTF
ASH1L	HIVEP2
ASIC2	GRHL3
ATF1	JUNB
ATF1	CREB1
ATF1	FOSL1
ATF1	KLF6
ATF2	ATF4
ATF2	FOS
ATF2	FOSL1
ATF2	JUND
ATF3	DDIT3
ATF3	FOSL2
ATF3	MAFG
ATF3	BCL6
ATF3	CEBPB
ATF3	CSRNP1
ATF4	CEBPG
ATF4	DDIT3
ATF5	CEBPA
ATF6	NFE2
ATF7	CREB3L2
ATF7	EPAS1
ATF7	FOS
ATMIN	ARHGAP35
ATOH1	CDX1
ATOH1	CDX2
ATOH7	DACH1
ATOH8	CEBPD
BACH1	JUNB
BACH1	FOS
BACH1	LBX2
BACH1	MAFF
BACH1	NFAT5
BACH1	NFE2L2
BACH2	BCL6
BACH2	FOXO1
BARHL1	BARHL2
BARHL1	ZIC1
BARHL2	NHLH2
BARHL2	UNCX
BARHL2	ZIC1
BARX1	SIX2
BARX1	CEBPA
BARX1	DLX4
BARX2	EHF
BARX2	GRHL2
BATF	IRF7
BATF	ATF3
BATF2	IRF1
BATF3	BATF
BAZ2A	DOT1L
BAZ2B	ASH1L
BAZ2B	BPTF
BBX	ARID2
BBX	EEA1
BCL11A	KLF6
BCL11A	MYB
BCL11A	BCL11B
BCL11A	BHLHE40
BCL11B	BCL11A
BCL11B	RORA
BCL6	IRF1
BCL6	BACH2
BCL6	CEBPB
BCL6	IRF4
BCL6	JUNB
BCL6B	ELK3
BHLHA9	DPF1
BHLHE22	ZBTB18
BHLHE22	CENPBD1
BHLHE23	IKZF2
BHLHE40	MAFF
BHLHE40	NR1D1
BHLHE40	STAT6
BHLHE40	HLF
BHLHE40	HSF2
BHLHE40	JUNB
BHLHE41	CEBPB
BNC1	ATF3
BNC2	PBX1
BNC2	NR2F2
BORCS8MEF2B	MEF2B
BPTF	ADNP
BRF2	TBP
BRIP1	ELF4
BSX	DLX1
BSX	FEZF1
BSX	FOXB1
C11ORF95	BNC2
CAMTA1	MYT1L
CAMTA2	MEF2D
CASZ1	IRX3
CASZ1	KLF5
CBLL2	CPXCR1
CBX2	HOXC10
CBX2	ALX3
CBX2	ATF3
CBX2	BARHL2
CBX2	BCL11A
CBX2	EMX1
CC2D1A	SREBF2
CCDC169SOHLH2	EVX2
CCDC17	FOXJ1
CDC5L	CEBPZ
CDKN2AIP	ZNF574
CDX1	CDX2
CDX1	HNF4A
CDX2	ELF3
CDX2	CDX1
CDX2	GATA6
CDX2	HNF4A
CDX2	HOXA3
CDX2	JUN
CDX4	DLX3
CDX4	GATA3
CEBPA	CEBPB
CEBPA	ATF3
CEBPA	BHLHE40
CEBPA	CEBPD
CEBPB	BCL6
CEBPB	NFE2L2
CEBPB	DDIT3
CEBPB	ETV6
CEBPB	KLF6
CEBPB	MEIS1
CEBPB	DLX1
CEBPB	IRF2
CEBPB	MNT
CEBPB	JUN
CEBPD	CEBPB
CEBPD	NFIL3
CEBPD	JUNB
CEBPD	KLF6
CEBPE	CEBPA
CEBPG	ATF3
CEBPG	ATF4
CEBPG	CEBPB
CEBPZ	MXD4
CEBPZ	PA2G4
CEBPZ	YBX1
CENPA	DNMT1
CENPB	MAZ
CENPBD1	ZNF674
CENPS	BHLHE40
CENPT	ZNF692
CENPX	BBX
CGGBP1	CREBZF
CHAMP1	CEBPE
CHCHD3	FOXA2
CHD1	EEA1
CIC	DOT1L
CIC	KLF13
CLOCK	ARNTL
CLOCK	ASH1L
CLOCK	BHLHE40
CPEB1	ARID3A
CPXCR1	FAM170A
CREB1	MAFF
CREB1	MAFK
CREB1	ATF6
CREB1	CEBPB
CREB1	FOS
CREB1	HLF
CREB1	TMF1
CREB1	ANKZF1
CREB1	BCL6
CREB3	DDIT3
CREB3	ATF3
CREB3L1	AEBP1
CREB3L1	BHLHE40
CREB3L2	CREB3L1
CREB3L3	HNF4A
CREB3L4	CREM
CREB5	BCL6
CREBL2	KLF9
CREBZF	DMTF1
CREBZF	KMT2A
CREM	CSRNP1
CREM	NR4A1
CREM	NR4A2
CREM	ARID5A
CREM	ATF4
CREM	CREB3L4
CRX	NRL
CRX	PBX1
CRX	PROX1
CRX	RXRG
CSRNP1	AKNA
CSRNP2	ARHGAP35
CSRNP3	ARNT2
CTCF	ZBTB33
CTCF	IRF9
CTCF	NR2C1
CTCF	PRDM1
CTCF	POU2F1
CTCF	FOXA3
CTCF	HIC1
CTCF	ZNF282
CTCF	CEBPA
CTCF	CREB3L4
CTCF	ZNF268
CTCF	ZNF398
CTCF	CREM
CTCF	ZNF425
CTCFL	CENPB
CTCFL	JUND
CTCFL	NR6A1
CTCFL	SATB2
CTCFL	ZNF843
CUX1	JUNB
CUX1	MYC
CUX1	NCOA3
CUX1	ZNF217
CUX1	ZNF778
CUX1	ANKZF1
CUX1	BCL6
CUX2	MYT1L
CXXC1	BHLHE41
CXXC4	CAMTA1
CXXC4	CSRNP3
CXXC4	MYT1L
CXXC5	ZIC1
DACH1	CXXC4
DACH1	EBF1
DACH1	EBF3
DACH2	CSRNP3
DBP	ATF3
DBX1	ASCL1
DBX1	BHLHE23
DBX1	DMRT1
DBX2	NPAS3
DDIT3	JUND
DDIT3	BHLHE40
DEAF1	IRF7
DEAF1	CAMTA1
DEAF1	CIC
DLX1	DLX2
DLX1	DLX5
DLX2	DLX1
DLX2	DLX5
DLX3	DLX4
DLX3	GATA3
DLX4	TFAP2A
DLX4	DLX3
DLX5	EMX2
DLX5	MSX1
DLX5	DLX2
DLX6	FOXG1
DLX6	SP9
DMBX1	CTCFL
DMBX1	INSM1
DMRT1	DMRTB1
DMRT1	NR6A1
DMRT1	RUNX1
DMRT1	AIRE
DMRT2	CXXC1
DMRT2	FOXI1
DMRT3	DMRT1
DMRT3	DMRTC2
DMRT3	EMX1
DMRTA1	GLI3
DMRTA1	PAX6
DMRTA2	BARHL2
DMRTA2	EN2
DMRTA2	FOXA2
DMRTB1	DMRTC2
DMRTB1	OTX2
DMRTC2	DMRTB1
DMRTC2	SOX30
DMTF1	BAZ2B
DMTF1	CREB1
DNMT1	BAZ2B
DNTTIP1	SPI1
DOT1L	REPIN1
DOT1L	DNMT1
DPF1	ARNT2
DPF3	HEY1
DPRX	DUXA
DPRX	GATA6
DPRX	LBX1
DR1	CREB1
DRAP1	HMGA1
DRGX	CASZ1
DRGX	DLX3
DUX4	AHR
DUX4	PLSCR1
DUX4L1	AEBP1
DUXA	ARGFX
DUXA	DPRX
DZIP1	ARNT2
E2A	ADNP
E2A	AEBP1
E2F1	BHLHE40
E2F1	MYC
E2F1	FOS
E2F1	JUND
E2F1	DNMT1
E2F1	E2F2
E2F1	E2F7
E2F1	E2F8
E2F2	TFDP1
E2F3	MYBL2
E2F4	E2F2
E2F4	FOXM1
E2F4	MYBL2
E2F4	TFDP1
E2F4	CTCF
E2F4	E2F3
E2F4	MTF2
E2F5	MTF2
E2F5	BHLHE40
E2F5	E2F1
E2F6	CENPA
E2F6	ZNF628
E2F6	LHX2
E2F6	MTERF2
E2F6	THAP5
E2F6	ZIC5
E2F7	HMGA1
E2F7	DNMT1
E2F8	CENPA
E4F1	ZNF692
E4F1	AKAP8L
EBF1	NCOA3
EBF1	PRRX1
EBF1	PRRX2
EBF1	TWIST2
EBF1	AEBP1
EBF2	EBF1
EBF3	EBF1
EBF3	EBF2
EBF4	NFATC4
EBF4	MEIS2
EEA1	ARID5B
EGR1	JUND
EGR1	KLF10
EGR1	SKIL
EGR1	STAT1
EGR1	DRAP1
EGR1	EPAS1
EGR1	ERF
EGR1	FOSL2
EGR1	GLI4
EGR2	ATF3
EGR2	CSRNP1
EGR3	EGR2
EGR3	FOSB
EGR4	EGR1
EGR4	NPAS4
EHF	ELF3
EKLF	ARID3B
ELF1	MTERF1
ELF1	TTF1
ELF1	ZNF224
ELF1	ZNF225
ELF1	ZNF283
ELF1	ZNF397
ELF2	ARID2
ELF2	BAZ2B
ELF3	EHF
ELF3	JUN
ELF3	KLF6
ELF4	IKZF1
ELF5	EHF
ELF5	CREB3L1
ELF5	GRHL2
ELK1	ZNF230
ELK1	NR1H2
ELK1	ZNF227
ELK1	ZNF408
ELK1	ZNF585A
ELK1	ZNF585B
ELK3	FLI1
ELK3	FOSL1
ELK3	BHLHE40
ELK4	NFAT5
ELK4	SP3
ELK4	STAT1
ELK4	EEA1
ELK4	EGR1
ELOF1	ELF4
EMX1	FOXG1
EMX1	NEUROD6
EMX2	GLI3
EMX2	LHX2
EN1	EBF3
EN1	EN2
EN2	FOXA2
EN2	ZIC1
EOMES	ZIC2
EOMES	LHX1
EOMES	MEIS1
EP400	ATF5
EPAS1	ETS1
EPAS1	JUN
ERF	AHDC1
ERG	ELK3
ERG	SOX4
ERG	EPAS1
ERG	ETV6
ERG	ATF4
ESET	ADNP2
ESET	AHCTF1
ESR1	FOS
ESR1	FOXA1
ESR1	MYB
ESR1	PGR
ESR2	JUNB
ESR2	CEBPA
ESR2	FOS
ESR2	MYB
ESRRA	NR2F6
ESRRA	ATF4
ESRRB	ESRRG
ESRRB	NCOA2
ESRRB	NCOA3
ESRRB	SALL4
ESRRG	DACH1
ESRRG	ESRRA
ESX1	DMRT1
ESX1	ANHX
ETF1	PA2G4
ETS1	STAT1
ETS1	AKNA
ETS1	ATF6
ETS1	DR1
ETS1	ERF
ETS1	FLI1
ETS1	JUNB
ETS1	NFKB1
ETS2	KLF6
ETS2	KLF2
ETV1	JUN
ETV1	ZBTB18
ETV1	ATF3
ETV1	BARHL2
ETV2	BCL6B
ETV2	DMBX1
ETV2	EGR1
ETV3	AHR
ETV3	ATF3
ETV3L	BATF
ETV4	HMGA1
ETV4	HMGA2
ETV5	ETV1
ETV6	FLI1
ETV6	IRF2
ETV7	IRF7
EVX1	EVX2
EVX1	FOXA1
EVX1	GATA2
EVX2	EVX1
EVX2	SOX30
EVX2	ALX1
EZH2	HMGA1
FAM170A	SOX30
FAM200B	CAMTA1
FBXL19	ARHGAP35
FERD3L	FOXD1
FERD3L	NR2F2
FEV	PHOX2B
FEV	EGR4
FEZF1	LHX5
FEZF1	SOX1
FEZF1	SOX11
FEZF2	FOXG1
FEZF2	LHX2
FIGLA	NOBOX
FIGLA	EMX1
FIGLA	FOXR1
FIZ1	MBD3
FIZ1	CAMTA2
FLI1	FOXO1
FLI1	BCL11B
FLI1	HEY1
FLI1	MEF2C
FLI1	SOX9
FLI1	E2F1
FLI1	TSC22D1
FLI1	ZBTB16
FLI1	FOS
FLYWCH1	HSF4
FOS	JUN
FOS	ATF3
FOS	FOSL2
FOS	KLF6
FOS	BHLHE40
FOS	CSRNP1
FOS	JUNB
FOSB	FOS
FOSL1	ATF3
FOSL1	BHLHE40
FOSL1	DRAP1
FOSL2	JUNB
FOSL2	CSRNP1
FOXA1	GRHL2
FOXA1	EHF
FOXA1	SPDEF
FOXA1	TCF7L2
FOXA1	FOS
FOXA1	KLF6
FOXA1	ARID5B
FOXA1	ASH1L
FOXA1	BHLHE40
FOXA2	GATA6
FOXA2	HNF4A
FOXA2	KLF5
FOXA2	KLF6
FOXA3	HNF4A
FOXB1	POU3F2
FOXB1	SALL1
FOXB1	SOX2
FOXB2	BSX
FOXB2	CXXC4
FOXB2	DLX1
FOXC1	FOXC2
FOXC1	FOXD1
FOXC2	FOXC1
FOXC2	FOXL1
FOXD1	HMGA1
FOXD2	FOXC1
FOXD2	FOXC2
FOXD3	POU5F1
FOXD3	SOX2
FOXD3	GLI2
FOXD4	FOXD4L1
FOXD4	EN2
FOXD4	BARX1
FOXD4L1	FOXD4
FOXD4L1	FOXD4L3
FOXD4L3	FOXD4
FOXD4L3	FOXD4L1
FOXD4L4	FOXD4L3
FOXD4L5	FOXD4L3
FOXD4L5	FOXD4L4
FOXD4L6	TEAD1
FOXD4L6	TFDP1
FOXE1	SALL1
FOXE1	ALX4
FOXE3	BARHL1
FOXE3	EN2
FOXE3	FOXC1
FOXF1	TCF21
FOXF1	EPAS1
FOXF2	FOXF1
FOXF2	FOXC1
FOXG1	ARNT2
FOXG1	LHX2
FOXH1	ARID3A
FOXH1	ELF3
FOXH1	ZIC3
FOXH1	BHLHE40
FOXI1	DMRT2
FOXI1	FOXI2
FOXI2	DMRTA2
FOXI2	FOXG1
FOXI3	ALX4
FOXJ1	CCDC17
FOXJ2	GATAD2B
FOXJ2	HBP1
FOXJ2	KLF2
FOXJ3	MEF2D
FOXJ3	ARID5B
FOXK1	FOXK2
FOXK1	MNT
FOXK1	FOXO3
FOXK2	FOXK1
FOXK2	GATAD2A
FOXK2	NFIC
FOXL1	FOXC2
FOXL1	CREB3L1
FOXL2	FOXO6
FOXL2	HOXC6
FOXL2	LHX1
FOXM1	CENPA
FOXM1	ELF3
FOXM1	KLF6
FOXM1	MAZ
FOXM1	MXD3
FOXM1	ZNF143
FOXN1	CASZ1
FOXN2	CREB1
FOXN3	MEF2A
FOXN3	ARID5B
FOXN4	EMX1
FOXN4	EOMES
FOXO1	FOXO3
FOXO1	FOS
FOXO1	KLF9
FOXO1	BACH2
FOXO3	KLF9
FOXO3	HBP1
FOXO3	SMAD4
FOXO4	FOXO1
FOXO4	KLF2
FOXO6	FOXO1
FOXO6	FOXO3
FOXP1	ATF4
FOXP1	BACH2
FOXP1	EBF1
FOXP1	HIF1A
FOXP1	BCL6
FOXP2	EBF3
FOXP2	EPAS1
FOXP2	FOXP1
FOXP2	MAFK
FOXP3	TCF7
FOXP3	BATF
FOXP3	FOS
FOXP3	IKZF1
FOXP4	DOT1L
FOXP4	FOXP1
FOXQ1	HMGA1
FOXQ1	KLF5
FOXR1	DNMT1
FOXR1	RHOXF2
FOXR2	DMRTB1
FOXR2	DMRTC2
FOXS1	AEBP1
GABPA	CGGBP1
GABPA	ZKSCAN8
GABPA	ZBTB26
GABPA	ZNF397
GABPA	ZNF416
GABPA	ZNF45
GABPA	ZNF517
GARS	HMGA1
GATA1	LYL1
GATA1	NFE2
GATA1	ZFPM1
GATA1	KLF1
GATA1	FOS
GATA1	SPI1
GATA1	TAL1
GATA2	FOS
GATA2	HMG20B
GATA2	ATF6
GATA2	BHLHE40
GATA2	GATA1
GATA2	HES1
GATA2	JUN
GATA2	LYL1
GATA2	USF1
GATA3	BHLHE40
GATA3	NR3C1
GATA3	ESR1
GATA3	FOS
GATA3	KLF6
GATA3	NCOA3
GATA3	ZFPM1
GATA3	ZNF669
GATA3	ZNF737
GATA3	ATF6
GATA4	FOS
GATA4	SOX9
GATA4	TBX5
GATA4	XBP1
GATA4	ATF4
GATA5	EGR1
GATA5	FOS
GATA6	KLF6
GATA6	YBX1
GATA6	ATF3
GATA6	JUN
GATAD2A	DOT1L
GATAD2A	TCF20
GATAD2B	POU2F1
GATAD2B	AKNA
GATD3A	BHLHE40
GBX1	LBX1
GBX1	TBX1
GBX2	NPAS3
GBX2	POU3F2
GC	ARID3C
GCM1	ARID3A
GCM1	DLX3
GCM2	MAFB
GCM2	PAX1
GCM2	VDR
GDNF	ZBTB41
GF1	ALX1
GF1	ATF3
GFI1	IKZF1
GFI1	SATB1
GFI1B	BHLHE40
GFI1B	EGR1
GFI1B	KLF1
GFI1B	LYL1
GLI1	MYC
GLI1	TFDP1
GLI1	HMGA1
GLI2	GLI3
GLI2	NFATC4
GLI3	GLI2
GLI3	TEAD1
GLI4	E4F1
GLIS1	NFIX
GLIS1	TWIST1
GLIS2	AEBP1
GLIS3	SMAD3
GLMP	CAMTA1
GLYR1	MAZ
GLYR1	SRCAP
GMEB1	ARID3A
GMEB1	GMEB2
GMEB2	GATAD2A
GMEB2	NR5A1
GPBP1	AEBP2
GPBP1L1	BAZ2A
GRHL1	GRHL2
GRHL2	EHF
GRHL2	GRHL1
GRHL2	CASZ1
GRHL3	GRHL1
GSC	SOX17
GSC	ALX4
GSC	EBF1
GSC2	DLX6
GSC2	DMRT1
GSC2	ZNF729
GSX1	DLX1
GSX1	HES5
GSX1	SOX1
GSX2	FOXG1
GSX2	NR2E1
GSX2	POU3F3
GTF2B	DDIT3
GTF2B	FOS
GTF2B	NFE2
GTF2B	NR4A2
GTF2I	SRF
GTF2IRD1	AKNA
GTF2IRD2	GTF2IRD2B
GTF2IRD2	KLF9
GTF2IRD2B	GTF2IRD2
GTF2IRD2B	FOXO1
GTF3A	BHLHE40
GZF1	CSRNP1
GZF1	NFIL3
HAND1	HAND2
HAND1	HEY2
HAND2	GATA4
HAND2	HAND1
HBP1	FOXO3
HBP1	BCL6
HBP1	BHLHE40
HDX	EBF1
HDX	FOXC1
HELT	ASCL1
HELT	CASZ1
HELT	DLX1
HES1	EGR1
HES1	JUN
HES2	IRF6
HES3	ZIC5
HES3	FBXL19
HES4	FOXC1
HES4	JUNB
HES5	LHX2
HES5	POU3F2
HES6	ASCL1
HES6	BHLHE40
HES7	EN2
HES7	FLI1
HESX1	FOXD3
HESX1	IRF4
HEY1	HEY2
HEY2	EGR1
HEY2	FOS
HEYL	AEBP1
HHEX	ETS2
HHEX	BHLHE40
HIC1	AEBP1
HIC1	BHLHE40
HIC2	LIN28B
HIC2	ARID3A
HIF1A	BHLHE40
HIF1A	FOSL2
HIF1A	JUN
HIF3A	EPAS1
HINFP	ANKZF1
HINFP	BARHL1
HIVEP1	BHLHE40
HIVEP1	NFAT5
HIVEP2	KLF13
HIVEP2	KLF9
HIVEP3	ATF3
HIVEP3	BACH2
HKR1	HINFP
HKR1	MTERF4
HLF	ARID5B
HLX	CEBPB
HMBOX1	BAZ2B
HMBOX1	PHF21A
HMBOX1	ARID5B
HMG20A	ADNP
HMG20A	CEBPB
HMG20B	SREBF1
HMGA1	PA2G4
HMGA2	HMGA1
HMGA2	HOXB5
HMGN3	USF2
HMGN3	ZNF598
HMGN3	DBP
HMX1	SOX2
HMX1	ATF3
HMX1	BARX1
HMX2	HMX3
HMX2	IRF4
HMX2	PAX5
HMX3	HMX2
HMX3	IRF4
HMX3	PAX5
HNF1A	FOXA1
HNF1A	FOXA2
HNF1B	BHLHE40
HNF1B	ELF3
HNF4A	CREB3L3
HNF4A	CEBPA
HNF4A	HNF1A
HNF4A	MLXIPL
HNF4A	CEBPB
HNF4A	ELF3
HNF4A	EPAS1
HNF4G	CDX2
HNF4G	CREB3L3
HNF4G	HNF1A
HOMEZ	ARID3A
HOMEZ	SOX30
HOXA1	HOXB1
HOXA1	PRDM1
HOXA10	HOXA11
HOXA10	HOXA9
HOXA11	ATF4
HOXA11	ESR1
HOXA11	HOXA10
HOXA13	CDX2
HOXA13	FOXA1
HOXA13	HOXA10
HOXA2	MEIS1
HOXA2	FOXF1
HOXA3	HOXA2
HOXA3	HOXA4
HOXA4	HOXA2
HOXA4	HOXA3
HOXA5	HOXA2
HOXA5	HOXA3
HOXA6	HOXA1
HOXA6	HOXA10
HOXA7	HOXA10
HOXA7	HOXA6
HOXA9	FLI1
HOXA9	HOXA10
HOXA9	HOXA11
HOXB1	PBX1
HOXB1	GLI3
HOXB13	EHF
HOXB13	FOXA1
HOXB13	GRHL2
HOXB2	FOXF1
HOXB2	HOXA2
HOXB3	FOXF1
HOXB3	HOXA2
HOXB4	HOXA3
HOXB4	HOXA4
HOXB4	HOXB2
HOXB5	FOXF1
HOXB5	HOXA2
HOXB6	HOXA2
HOXB6	HOXA3
HOXB7	HOXA3
HOXB7	HOXB3
HOXB7	HOXB9
HOXB8	HOXA4
HOXB8	HOXA5
HOXB9	FOXC1
HOXB9	HOXB5
HOXC10	HOXA10
HOXC10	HOXC11
HOXC11	HOXC10
HOXC11	HOXC12
HOXC11	HOXC4
HOXC12	HOXC11
HOXC12	HOXC13
HOXC12	HOXC4
HOXC13	GATA3
HOXC13	MSX2
HOXC4	HOXA7
